PRODUCT_ID,WEIGHT_UNIT,CURRENCY_code,PRICE,WIDTH,WEIGHT,SHORT_DESC,REMARKS
1,GM,USD,1018.33,335.59,2675.58,Our Family,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
2,GM,BRL,352.03,580.46,1304.83,OXYGEN,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
3,L,IDR,770.58,271.76,2695.87,Ropinirole Hydrochloride,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
4,ML,ETB,1302.05,240.13,8555.2,Hydralazine Hydrochloride,Aliquam erat volutpat. In congue.
5,KG,UAH,1241.14,646.93,5029.25,Nighttime Sleep Aid,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
6,POUNDS,RUB,748.31,167.43,6307.41,LBEL LEDERM 45plus Jour,Nunc purus. Phasellus in felis. Donec semper sapien a libero.
7,OUNCE,VND,1389.45,13.81,8726.41,QUETIAPINE FUMARATE,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
8,KG,MUR,65.81,624.56,1411.09,Pramipexole Dihydrochloride,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
9,OUNCE,IDR,1310.08,60.22,1338.22,Halobetasol Propionate,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
10,L,USD,214.99,465.82,1283.93,Sonata,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
11,L,XAF,1261.48,14.27,1621.92,ANTIPYRINE AND BENZOCAINE,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
12,L,CNY,1275.26,578.98,7905.6,Terbinafine Hydrochloride,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
13,L,EUR,237.27,314.95,9481.05,Total Suncare Sunscreen SPF 15,Nullam varius. Nulla facilisi.
14,ML,IDR,1455.42,321.43,7034.09,FANAPT,Praesent lectus.
15,L,CNY,1378.33,14.65,4210.31,ISOSORBIDE DINITRATE,Integer a nibh. In quis justo.
16,ML,BRL,988.87,307.58,4684.27,CHILDRENS ADVIL,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
17,GM,PHP,1076.24,499.91,4647.23,SUPER ORIGIN CC,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
18,L,PHP,1102.74,607.1,1499.69,Morphine sulfate,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
19,ML,EGP,1353.7,511.5,9150.02,Childrens Earache Relief,Sed accumsan felis. Ut at dolor quis odio consequat varius.
20,ML,CNY,1201.93,244.37,3828.74,Lidocaine Hydrochloride,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
21,POUNDS,SYP,1123.02,242.72,457.17,Trichoderma harzianam,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
22,L,UAH,983.34,632.39,4764.24,Eucalyptus,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
23,OUNCE,EUR,457.9,283.37,9985.43,Body Wash,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
24,ML,SEK,1196.65,393.06,9357.63,SkinMedica Purifying Toner,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
25,OUNCE,PYG,491.7,390.18,2565.24,Advanced Firming and Anti Wrinkle,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
26,POUNDS,RUB,890.06,440.74,4383.65,Hydrocodone Bitartrate And Acetaminophen,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.
27,GM,COP,950.95,335.19,2767.89,Coppertone Sport AccuSpray,Nunc rhoncus dui vel sem.
28,KG,PLN,244.98,48.56,7890.09,Leucovorin,Nulla ut erat id mauris vulputate elementum. Nullam varius.
29,POUNDS,AZN,53.5,541.08,5231.62,Hydrocodone Bitartrate and Acetaminophen,Duis at velit eu est congue elementum.
30,GM,ILS,1305.01,91.38,922.18,Allergy Relief,Integer ac leo.
31,OUNCE,RUB,322.59,498.5,8113.85,Kadian,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
32,OUNCE,IRR,510.54,345.45,3679.74,Flounder,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.
33,L,USD,1023.46,287.35,4901.16,MARCS,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
34,ML,EUR,281.37,53.43,7728.1,Torsemide,In hac habitasse platea dictumst.
35,KG,CNY,488.38,316.58,9906.12,Biological Complex,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
36,GM,SEK,439.23,499.54,4367.94,Simvastatin,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
37,GM,IDR,396.97,224.11,9262.1,Anti-itch,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
38,L,BRL,469.56,620.57,8030.4,CANTHARIS,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
39,KG,CZK,865.45,214.06,5469.0,ESIKA HD COLOR HIGH DEFINITION COLOR SPF 20,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
40,OUNCE,RUB,264.26,502.25,4805.31,Rite Aid Pharmacy congestion relief vaporizing steam,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
41,L,CNY,648.61,48.06,7217.26,Stool Softener Plus Stimulant Laxative,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
42,KG,VEF,786.86,562.0,8035.89,CAREALL Muscle Rub,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
43,OUNCE,EUR,875.25,465.76,3979.95,Jet Lag and Shift Change,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
44,GM,TZS,25.71,193.06,8102.05,DHC,Mauris sit amet eros.
