ORDER_ID,SHIP_METHOD,ORDER_ON,DUE_DATE,customer_CUSTOMER_ID,SHIPPING_REMARKS
1,AIR,28.04.2023,11/10/2022,15,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
2,AIR,15.04.2023,12/11/2022,17,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
3,SEA,24.07.2022,01/07/2022,19,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
4,SEA,09.01.2023,04/05/2023,16,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
5,POSTAL,17.06.2022,04/09/2022,37,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
6,SEA,26.01.2023,01/12/2022,22,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
7,SEA,17.10.2022,26/06/2023,2,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
8,SEA,07.10.2022,07/07/2022,27,Nulla tempus.
9,AIR,17.03.2023,09/10/2022,3,Morbi a ipsum.
10,SEA,28.01.2023,18/02/2023,40,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
11,POSTAL,09.07.2022,04/01/2023,36,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
12,POSTAL,15.07.2022,09/01/2023,23,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
13,POSTAL,22.09.2022,10/06/2022,35,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
14,SEA,07.11.2022,19/02/2023,29,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
15,POSTAL,21.05.2023,27/04/2023,38,Nullam varius. Nulla facilisi.
16,SEA,23.10.2022,17/06/2022,19,Integer a nibh. In quis justo.
17,POSTAL,27.07.2022,14/07/2022,11,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
18,SEA,26.02.2023,17/03/2023,11,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
19,SEA,05.01.2023,05/06/2023,8,Curabitur at ipsum ac tellus semper interdum.
20,AIR,15.04.2023,24/07/2023,35,In hac habitasse platea dictumst.
21,POSTAL,21.04.2023,14/04/2023,37,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
22,POSTAL,11.07.2022,17/01/2023,27,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
23,POSTAL,04.12.2022,14/06/2022,19,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
24,SEA,04.02.2023,01/02/2023,26,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
25,AIR,20.06.2022,26/05/2023,47,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
26,POSTAL,08.03.2023,27/09/2022,25,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
27,SEA,06.05.2023,12/11/2022,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
28,SEA,15.08.2022,11/09/2022,13,Aenean lectus. Pellentesque eget nunc.
29,POSTAL,10.06.2022,09/10/2022,48,Nullam sit amet turpis elementum ligula vehicula consequat.
30,SEA,30.08.2022,17/12/2022,37,Nunc nisl.
31,POSTAL,23.05.2023,13/09/2022,28,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
32,SEA,17.01.2023,05/12/2022,38,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum."
